Date,Price,Open,High,Low,Change %,diff_1,label
2017-01-18,1.0631,1.0713,1.0715,1.0625,-0.77%,-0.008199999999999985,1.0
2017-01-19,1.0664,1.0629,1.0677,1.0588,0.31%,0.0033000000000000806,2.0
2017-01-20,1.0703,1.0667,1.0713,1.0627,0.37%,0.0039000000000000146,2.0
2017-01-23,1.0765,1.0687,1.0773,1.0686,0.58%,0.006199999999999983,2.0
2017-01-24,1.0731,1.0763,1.0775,1.0718,-0.32%,-0.0034000000000000696,1.0
2017-01-25,1.0748,1.0734,1.0773,1.0713,0.16%,0.0017000000000000348,0.0
2017-01-26,1.0682,1.0746,1.0767,1.0657,-0.61%,-0.006599999999999939,1.0
2017-01-27,1.0699,1.0685,1.0729,1.0661,0.16%,0.0017000000000000348,0.0
2017-01-30,1.0695,1.0692,1.0743,1.062,-0.04%,-0.000400000000000178,0.0
2017-01-31,1.0798,1.0695,1.0814,1.0684,0.96%,0.010300000000000198,2.0
2017-02-01,1.0769,1.0798,1.081,1.0731,-0.27%,-0.0029000000000001247,1.0
2017-02-02,1.0758,1.0766,1.0829,1.0753,-0.10%,-0.0010999999999998789,0.0
2017-02-03,1.0784,1.0759,1.08,1.0714,0.24%,0.0025999999999999357,2.0
2017-02-06,1.075,1.0781,1.0801,1.0703,-0.32%,-0.0034000000000000696,1.0
2017-02-07,1.0681,1.075,1.0751,1.0654,-0.64%,-0.006899999999999906,1.0
2017-02-08,1.0699,1.0682,1.0715,1.064,0.17%,0.0018000000000000238,0.0
2017-02-09,1.0656,1.0699,1.0711,1.065,-0.40%,-0.0042999999999999705,1.0
2017-02-10,1.0641,1.0658,1.067,1.0609,-0.14%,-0.0015000000000000568,0.0
2017-02-13,1.0598,1.0633,1.0659,1.0591,-0.40%,-0.0042999999999999705,1.0
2017-02-14,1.0577,1.0596,1.0633,1.056,-0.20%,-0.0020999999999999908,1.0
2017-02-15,1.0601,1.0577,1.0611,1.0523,0.23%,0.0023999999999999577,2.0
2017-02-16,1.0674,1.06,1.0682,1.0588,0.69%,0.007299999999999862,2.0
2017-02-17,1.0614,1.0675,1.0679,1.0605,-0.56%,-0.006000000000000005,1.0
2017-02-20,1.0614,1.0618,1.0637,1.0606,0.00%,0.0,0.0
2017-02-21,1.0537,1.0611,1.0618,1.0526,-0.73%,-0.007699999999999818,1.0
2017-02-22,1.0556,1.0534,1.0574,1.0493,0.18%,0.0019000000000000128,0.0
2017-02-23,1.0581,1.0558,1.0598,1.0539,0.24%,0.0024999999999999467,2.0
2017-02-24,1.0563,1.0583,1.062,1.0557,-0.17%,-0.0018000000000000238,0.0
2017-02-27,1.0587,1.0562,1.0633,1.0551,0.23%,0.0023999999999999577,2.0
2017-02-28,1.0577,1.0587,1.0632,1.057,-0.09%,-0.0009999999999998899,0.0
2017-03-01,1.0547,1.0574,1.0589,1.0514,-0.28%,-0.0030000000000001137,1.0
